id,user_name,email,phone_number,registration_date,vat_number,invoice_id,user_id,invoice_date,total_amount,supplier_iban,status,due_date,supplier_tax_id,fraud
651,David Pham,eroberts@example.org,(848)942-2263,2022-10-18 00:00:00,VAT166373248,1,651,2025-03-05 00:00:00,1419.99,GB78GMDX78712902291044,overdue,2025-04-15 00:00:00,VAT489217191,0
396,Katherine Norton,zschultz@example.com,(731)439-0155x15861,2023-02-18 00:00:00,VAT396551983,2,396,2025-03-20 00:00:00,2415.28,GB09LTHY90620200480968,pending,2025-04-23 00:00:00,VAT670499026,0
944,Pamela Potts,tylermartinez@example.net,001-956-537-1678,2024-04-01 00:00:00,VAT829162022,3,944,2025-01-07 00:00:00,1184.25,GB90TVUW83067967163375,paid,2025-01-06 00:00:00,VAT644321367,0
453,Joshua Gray,lisa73@example.org,980-590-6017x14135,2023-06-05 00:00:00,VAT231284274,4,453,2025-02-24 00:00:00,1548.13,GB20CAIO43197885511020,pending,2025-04-20 00:00:00,VAT564877604,0
265,Joy Lozano,melissa45@example.org,7678445445,2024-09-23 00:00:00,VAT243073137,5,265,2025-02-23 00:00:00,2441.73,GB51CIQJ02893021795928,paid,2025-04-08 00:00:00,VAT537823985,0
459,Stephen Stanton,fake1444@example.com,762-548-0347x82761,2022-08-21 00:00:00,VAT853066665,6,459,2025-01-18 00:00:00,3085.89,GB05PMZT50250024398390,pending,2025-03-10 00:00:00,VAT946986307,0
505,Chelsey Choi,josephstephens@example.net,+1-854-598-7130x4424,2020-11-17 00:00:00,VAT907676946,7,505,2025-01-26 00:00:00,3980.97,GB02PZVC08996973228881,paid,2025-02-23 00:00:00,VAT126871480,0
602,Robert Hall,melendezanita@example.org,4578732283,2024-01-27 00:00:00,VAT315686375,8,602,2025-03-17 00:00:00,4123.68,GB35GLTF96599752754858,paid,2025-04-07 00:00:00,VAT329148483,0
692,Lori Bell,fake6448@example.com,8784419064,2024-07-13 00:00:00,VAT457546546,9,692,2025-02-09 00:00:00,2452.14,GB70XMOQ53782636081803,pending,2025-02-21 00:00:00,VAT700918124,0
886,Amy Martin,williamsadam@example.org,+1-981-475-3242x68492,2020-09-18 00:00:00,VAT564960943,10,886,2025-01-30 00:00:00,657.67,GB28DOQG85129881734651,overdue,2025-03-02 00:00:00,VAT486269039,0
540,Jamie Jefferson,mstevenson@example.net,276.297.6366,2023-11-20 00:00:00,VAT704238453,11,540,2025-03-06 00:00:00,4615.41,GB05WJEB42173757943513,paid,2025-04-01 00:00:00,VAT166070108,0
471,Jacob Hansen,hreed@example.org,001-796-589-3570x64117,2020-04-28 00:00:00,VAT699142348,12,471,2025-02-08 00:00:00,1965.17,GB12BTRO04349921277139,overdue,2025-03-10 00:00:00,VAT903795484,0
291,Jared Price,jwalker@example.net,+1-849-319-4468x77840,2022-10-29 00:00:00,VAT903938686,13,291,2025-03-01 00:00:00,3115.9,GB26MJHS88922670111291,paid,2025-03-17 00:00:00,VAT402455554,0
986,Michael Lynn,davidgray@example.net,001-582-429-9182x783,2021-01-21 00:00:00,VAT336073669,14,986,2025-02-10 00:00:00,2766.44,GB30ANIR61586992918776,overdue,2025-03-28 00:00:00,VAT856065425,0
597,Scott Massey,jacquelinemcdaniel@example.net,001-234-990-4199x429,2024-12-01 00:00:00,VAT119496370,15,597,2025-02-07 00:00:00,737.89,GB20AYJF40600761978033,pending,2025-03-24 00:00:00,VAT141111036,0
207,Lindsey Brown,murraynicole@example.com,857.544.5447x3137,2021-02-25 00:00:00,VAT667722551,16,207,2025-01-31 00:00:00,538.48,GB96YDFA37592809712193,paid,2025-03-09 00:00:00,VAT128141770,0
640,Ryan Mason,dwayne86@example.org,+1-200-951-9769x81234,2024-11-06 00:00:00,VAT234217751,17,640,2025-03-26 00:00:00,1970.02,GB58YHHX72167506797922,pending,2025-05-04 00:00:00,VAT632741849,0
694,John Todd,patriciareyes@example.org,(866)775-1102x46654,2024-10-24 00:00:00,VAT150530457,18,694,2025-03-08 00:00:00,3223.76,GB17RZSG21203783819377,overdue,2025-01-18 00:00:00,VAT552787027,0
629,Jesus Griffin,garrettronnie@example.org,(995)988-3049,2024-07-16 00:00:00,VAT121321916,19,629,2025-03-21 00:00:00,3956.51,GB04QUKM63085365459279,pending,2025-04-10 00:00:00,VAT360746668,0
34,Amanda Dunn,cannonkristina@example.org,(792)818-3365,2022-02-06 00:00:00,VAT466258560,20,34,2025-01-05 00:00:00,715.12,GB93FXWW34264187460892,paid,2025-01-12 00:00:00,VAT955739171,0
479,Christine Ellis,patelcarl@example.org,858.447.6583x212,2024-10-22 00:00:00,VAT287430384,21,479,2025-03-03 00:00:00,4288.56,GB21JUJX86714813514638,overdue,2025-04-22 00:00:00,VAT579696064,0
253,Melissa Crawford,douglas29@example.com,(764)302-2860x626,2023-08-16 00:00:00,VAT126871480,22,253,2025-02-03 00:00:00,2139.29,GB81BXFY02671295145815,overdue,2025-02-18 00:00:00,VAT888466530,0
36,Christopher Johnson,ashleybates@example.net,980-714-9498,2022-06-17 00:00:00,VAT853718841,23,36,2025-01-01 00:00:00,1183.53,GB86UQFJ11036734264944,overdue,2025-01-21 00:00:00,VAT343497290,0
827,Chelsea Lane,oneal@example.com,728.338.5957,2022-05-03 00:00:00,VAT566067224,24,827,2025-03-14 00:00:00,4288.16,GB96TWDR84721106635714,paid,2025-03-21 00:00:00,VAT176021535,0
253,Melissa Crawford,douglas29@example.com,(764)302-2860x626,2023-08-16 00:00:00,VAT126871480,25,253,2025-02-25 00:00:00,1122.66,GB87GRMJ25392215394771,overdue,2025-03-21 00:00:00,VAT342146124,0
816,Glenn Mcdowell,lweaver@example.net,289.642.2022x0192,2021-01-19 00:00:00,VAT959506517,26,816,2025-03-13 00:00:00,2318.77,GB66EKOG94963711092850,pending,2025-03-31 00:00:00,VAT133963973,0
729,Thomas Colon,ivaughan@example.com,617.356.1359,2021-07-14 00:00:00,VAT475784194,27,729,2025-03-10 00:00:00,320.57,GB22NECH46123129679040,paid,2025-04-26 00:00:00,VAT114504588,0
606,Kendra Moore,benjaminmyers@example.net,001-283-368-0458x1674,2023-08-26 00:00:00,VAT235846577,28,606,2025-01-23 00:00:00,3550.9,GB31QLQU63790612264520,paid,2025-03-06 00:00:00,VAT319780009,0
688,Thomas Kennedy,michelledrake@example.org,(676)745-0606,2020-04-13 00:00:00,VAT108350704,29,688,2025-02-27 00:00:00,2229.23,GB87XQKY14949650429454,pending,2025-04-20 00:00:00,VAT374013666,0
264,Donna Herring,amy31@example.com,840-668-5871x52382,2021-08-30 00:00:00,VAT876217718,30,264,2025-02-23 00:00:00,4980.85,GB82URGE32834642505988,pending,2025-03-18 00:00:00,VAT845755029,0
322,Stacey Hickman,mark38@example.org,433-593-9730x45146,2020-07-27 00:00:00,VAT802028018,31,322,2025-03-27 00:00:00,1226.63,GB81MIKP94263962506474,overdue,2025-05-24 00:00:00,VAT717764503,0
252,Robert Thompson,rosemaddox@example.net,435-283-3481,2023-07-09 00:00:00,VAT746511849,32,252,2025-02-04 00:00:00,3739.57,GB86WKET59374984997330,paid,2024-12-10 00:00:00,VAT299793026,0
316,Chad Stokes,christopher20@example.org,(523)794-2308x1949,2020-06-12 00:00:00,VAT871603749,33,316,2025-02-28 00:00:00,1532.79,GB64IHUO82994531494365,pending,2025-03-10 00:00:00,VAT123792381,0
919,William Rasmussen,richard80@example.com,001-210-473-7010x77700,2022-01-02 00:00:00,VAT593769261,34,919,2025-01-11 00:00:00,269.03,GB38LTCR26061441461421,paid,2025-02-15 00:00:00,VAT992365868,0
784,Thomas Diaz,owilliams@example.net,(331)297-3818x19532,2023-05-25 00:00:00,VAT604749102,35,784,2025-03-26 00:00:00,2879.08,GB20QRXN40515643454301,paid,2025-04-02 00:00:00,VAT105969780,0
774,Catherine Clay,whitneyperez@example.net,001-830-724-6846x16452,2020-10-13 00:00:00,VAT430393638,36,774,2025-03-13 00:00:00,2676.42,GB40GYRM87715772897352,overdue,2025-04-03 00:00:00,VAT136943194,0
762,Sara Rice,thomasparker@example.org,0000000000,2020-04-17 00:00:00,VAT468823165,37,762,2025-01-16 00:00:00,853.11,GB13LENW39917950563195,overdue,2024-12-29 00:00:00,VAT729909166,0
921,Madison Haynes,barbaracook@example.com,569-987-8963x82806,2024-12-26 00:00:00,VAT814284185,38,921,2025-01-03 00:00:00,4667.97,GB80AEJQ02557303638567,overdue,2025-01-10 00:00:00,VAT224601769,0
472,Aaron Morris,fake8133@example.com,0000000000,2023-01-14 00:00:00,VAT706238114,39,472,2025-02-06 00:00:00,3810.88,GB32CAEQ48735646698483,pending,2025-03-18 00:00:00,VAT935416231,0
262,Lisa Schmidt,orodriguez@example.com,+1-276-219-2112x730,2023-03-31 00:00:00,VAT135452498,40,262,2025-01-26 00:00:00,4678.47,GB94URNV57105755750932,overdue,2025-02-06 00:00:00,VAT925778660,0
181,David Perkins,martinezmelissa@example.com,7512890213,2021-08-13 00:00:00,VAT566782302,41,181,2025-02-12 00:00:00,291.63,GB64LILQ12776864028890,pending,2025-03-12 00:00:00,VAT833413350,0
909,Jacob Chang,drakejames@example.org,923-791-7277x370,2020-07-04 00:00:00,VAT297784192,42,909,2025-02-17 00:00:00,3381.42,GB32OSQA02557832962309,pending,2025-02-19 00:00:00,VAT141446740,0
533,Sean Hodges DDS,icarr@example.com,515.221.5366,2021-06-21 00:00:00,VAT845437695,43,533,2025-01-06 00:00:00,3254.45,GB69VSXA34606302678123,pending,2025-02-27 00:00:00,VAT666701455,0
476,Brenda Rodriguez,fake8616@example.com,0000000000,2022-11-02 00:00:00,VAT104065796,44,476,2025-02-18 00:00:00,1934.24,GB93KGUG39046363922874,paid,2025-03-28 00:00:00,VAT941666169,0
612,Michael White,joshua79@example.com,847.730.6520,2022-11-21 00:00:00,VAT438964742,45,612,2025-01-22 00:00:00,1383.27,GB32WMTS37015336685833,paid,2025-02-09 00:00:00,VAT903795484,0
847,Ryan Johnson,dhoward@example.net,317.274.6814x9869,2022-08-16 00:00:00,VAT256847193,46,847,2025-03-17 00:00:00,2617.53,GB26EQWZ46669021426848,overdue,2025-03-29 00:00:00,VAT427065486,0
770,Connie Robertson,lawrencewilliams@example.org,001-292-247-5163x3746,2021-11-01 00:00:00,VAT335085294,47,770,2025-02-22 00:00:00,2829.38,GB58IXHJ44850978025284,paid,2025-03-15 00:00:00,VAT321384130,0
911,Justin Stewart,ihughes@example.net,341-939-7052,2024-04-09 00:00:00,VAT834741506,48,911,2025-03-01 00:00:00,114.35,GB62EFEV33082151307768,pending,2025-03-16 00:00:00,VAT478972247,0
61,Jessica Jones,danieljackson@example.net,585-576-2424,2022-01-30 00:00:00,VAT488229924,49,61,2025-02-09 00:00:00,1786.94,GB16UKCG66589050432876,pending,2025-03-27 00:00:00,VAT488229924,0
56,Brenda Butler,alexandraburke@example.org,001-270-742-1886x0763,2020-08-23 00:00:00,VAT662586478,50,56,2025-01-11 00:00:00,2987.12,GB69QRXN37220179265346,pending,2025-02-19 00:00:00,VAT163836824,0
607,Robin Houston,dawn26@example.com,+1-530-516-5682x974,2021-12-08 00:00:00,VAT156552155,51,607,2025-03-15 00:00:00,2046.96,GB90CYUM48137748165118,overdue,2025-04-07 00:00:00,VAT408460092,0
128,Cameron Meyer,grimesandrew@example.com,0000000000,2021-03-15 00:00:00,VAT258150976,52,128,2025-02-20 00:00:00,4143.91,GB98VFRW04911445870970,pending,2025-02-21 00:00:00,VAT810617343,0
